customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,signup_date,last_payment_date,zip,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,days_since_signup,days_since_last_payment,payment_delay,signup_missing,payment_missing
c103817,female,0,no,yes,29.0,no,no,dsl,one year,yes,bank transfer (automatic),77.73,2254.17,,2015-01-01,2023-09-03 22:14:49.343270,89411.0,no,unknown,unknown,unknown,unknown,no,38312,35144,1,1,0
c106267,male,0,yes,no,109.0,no,yes,dsl,annual,no,bank transfer (automatic),111.75,12180.75,,2017-03-10,2027-06-16 10:15:11.452779,89088.0,yes,no,no,unknown,unknown,no,37513,33763,1,0,0
c103942,male,0,no,no,0.0,n,yes,unknown,month-to-month,yes,bank transfer (automatic),92.44,3512.72,,2020-04-27,2023-06-20 16:11:32.974833,92608.0,yes,no,no,no,yes,no,36369,35219,1,0,0
c102799,male,0,no,yes,113.0,yes,yes,fiber optic,two year,y,electronic check,93.0,10509.0,,2020-11-08,2029-12-07 08:40:30.012083,87542.0,yes,yes,no,no,no,no,36174,32858,1,0,0
c101894,male,1,yes,yes,113.0,yes,yes,fiber optic,month-to-month,yes,credit card (automatic),85.52,3500.385,,2015-01-01,2029-12-25 23:10:55.105232,85199.0,no,no,no,no,no,no,38312,32839,1,1,0
c106838,male,0,no,no,7.0,no,no,fiber optic,one year,no,electronic check,51.37,359.59,,2015-01-01,2019-11-20 08:21:36.232323,33967.0,yes,no,no,no,unknown,no,38312,36528,1,1,0
c107062,female,0,yes,no,86.0,yes,no,fiber,month-to-month,no,electronic check,58.62,3500.385,,2021-04-17,2027-07-29 14:20:51.622914,28890.0,yes,no,unknown,yes,unknown,no,36014,33720,1,0,0
c102131,male,0,no,no,38.0,yes,yes,no,two year,no,electronic check,57.85,2198.3,,2015-01-01,2019-05-22 10:21:06.095325,13879.0,no,no,no,no,no,unknown,38312,36710,1,1,0
c103080,male,yes,no,unknown,104.0,yes,multiple,dsl,two year,yes,credit card (automatic),21.74,2260.96,,2015-02-10,2024-07-13 22:39:31.213174,85060.0,unknown,unknown,unknown,no,yes,no,38272,34830,1,0,0
c105698,female,0,yes,none,1.0,yes,yes,no,month-to-month,yes,electronic check,62.45,62.45,,2015-01-01,2017-04-18 19:25:30.603937,unknown,no,no,yes,yes,yes,yes,38312,37473,1,1,0
c107902,female,0,yes,no,93.0,yes,no phone service,fiber optic,annual,yes,electronic check,63.91,5943.63,,2015-01-01,2029-03-14 17:56:44.262250,unknown,yes,yes,no,no,no,yes,38312,33125,1,1,0
c102263,female,no,no,no,43.0,yes,no phone service,dsl,month-to-month,yes,credit card (automatic),60.42,2598.06,,2018-12-02,2018-12-02 00:00:00.000000,55918.0,no,no,no,no,yes,no,36881,36881,1,0,0
c101888,male,0,n,yes,59.0,yes,no phone service,no,month-to-month,yes,credit card (automatic),85.76,3500.385,,2021-11-08,2025-09-13 15:42:18.436924,18423.0,yes,no,no,unknown,yes,unknown,35809,34403,1,0,0
c106890,female,1,n,no,112.0,yes,no phone service,dsl,annual,yes,bank transfer (automatic),60.62,6789.44,,2022-03-17,2032-01-27 21:29:44.605775,19752.0,yes,yes,no,yes,no,unknown,35680,32076,1,0,0
c103478,male,0,yes,no,30.0,no,yes,none,one year,yes,bank transfer (automatic),82.09,2462.7,,2016-12-21,2019-10-09 01:27:46.974474,87554.0,no,no,no,no,no,no,37592,36570,1,0,0
c103103,female,0,yes,none,99.0,yes,multiple,fiber,one year,yes,electronic check,70.83,2712.6,,2017-06-01,2017-06-01 00:00:00.000000,7859.0,unknown,no,no,no,no,no,37430,37430,1,0,0
c106421,female,0,no,no,54.0,yes,no,dsl,two year,no,credit card (automatic),26.5,1431.0,,2015-01-01,2015-01-01 00:00:00.000000,52535.0,no,no,unknown,no,unknown,yes,38312,38312,1,1,1
c107854,male,0,yes,unknown,117.0,yes,yes,unknown,two year,no,electronic check,40.49,3500.385,,2017-05-03,2027-12-20 04:21:22.747138,unknown,unknown,no,yes,yes,no,no,37459,33576,1,0,0
c104782,male,0,yes,no,39.0,yes,no phone service,no,month-to-month,yes,electronic check,65.32,2547.48,,2023-12-26,2026-09-20 11:27:15.238694,50042.0,unknown,no,no,yes,unknown,unknown,35031,34032,1,0,0
c100239,male,0,y,no,85.0,yes,no phone service,dsl,two year,yes,bank transfer (automatic),79.51,3500.385,,2018-05-22,2026-08-15 15:50:16.208236,17223.0,yes,yes,no,no,yes,unknown,37075,34067,1,0,0
c107928,male,0,yes,no,81.0,yes ✅,multiple,fiber,month-to-month,no,mailed check,87.21,3500.385,,2015-01-01,2029-05-13 12:53:15.073908,66993.0,yes,no,yes,no,no,no,38312,33066,1,1,0
c104704,female,0,n,no,16.0,yes,no phone service,fiber optic,month-to-month,yes,electronic check,60.61,3500.385,,2015-01-01,2015-01-01 00:00:00.000000,33721.0,yes,yes,unknown,yes,no,no,38312,38312,1,1,1
c107376,male,1,yes,none,111.0,no,unknown,no,month-to-month,yes,electronic check,1128.0,125208.0,,2015-01-01,2027-04-20 00:42:58.525914,92760.0,no,yes,no,no,no,no,38312,33820,1,1,0
c104507,male,yes,yes,yes,6.0,yes,no phone service,no,month-to-month,no,electronic check,55.5,333.0,,2015-01-01,2017-05-28 03:18:40.432043,85387.0,no,no,no,no,unknown,no,38312,37434,1,1,0
c107682,male,0,no,no,18.0,yes ✅,yes,no,two year,yes,electronic check,43.8,788.4,,2022-10-14,2024-06-18 23:14:27.333599,38454.0,unknown,no,yes,unknown,no,no,35469,34855,1,0,0
c104509,female,no,yes,no,53.0,yes,unknown,no,month-to-month,no,electronic check,58.13,3080.89,,2015-01-01,2027-11-23 18:16:48.692093,76402.0,unknown,no,no,no,no,no,38312,33602,1,1,0
c103352,female,0,yes,no,88.0,yes,no,dsl,month-to-month,yes,bank transfer (automatic),34.53,3038.64,,2015-01-01,2022-02-26 17:03:43.352096,69667.0,yes,no,unknown,no,unknown,yes,38312,35698,1,1,0
c107441,male,0,yes,no,59.0,yes,no phone service,fiber optic,month-to-month,yes,electronic check,51.2,665.6,,2016-12-30,2016-12-30 00:00:00.000000,99172.0,no,no,no,unknown,unknown,no,37583,37583,1,0,0
c103204,female,no,no,yes,28.0,yes,no phone service,dsl,month-to-month,no,mailed check,127.36,3566.08,,2019-06-19,2022-01-12 06:42:33.894962,67850.0,no,yes,no,unknown,yes,yes,36682,35744,1,0,0
c105169,m ?,1,no,no,44.0,yes,no phone service,unknown,two year,yes,electronic check,111.95,4925.8,,2015-01-01,2025-11-16 17:25:07.692625,32865.0,no,no,yes,unknown,no,yes,38312,34339,1,1,0
c102845,female,no,yes,yes,0.0,yes,yes,no,two year,n,electronic check,62.87,3500.385,,2017-05-23,2017-07-30 22:24:59.648718,unknown,no,no,no,no,no,no,37439,37370,1,0,0
c100429,male,0,no,no,39.0,no,no phone service,dsl,month-to-month,yes,cheque,84.61,3299.79,,2022-08-11,2026-01-12 04:35:18.876719,unknown,no,unknown,yes,no,no,no,35533,34283,1,0,0
c104291,male,0,yes,no,82.0,yes,no phone service,fiber optic,month-to-month,yes,mailed check,84.78,6951.96,,2015-01-01,2015-01-01 00:00:00.000000,90618.0,unknown,yes,no,unknown,unknown,unknown,38312,38312,1,1,1
c101018,female,0,y,none,21.0,yes,no phone service,no,month-to-month,yes,electronic check,70.83,2655.87,,2018-01-24,2019-07-30 02:48:31.901747,26610.0,unknown,no,no,unknown,yes,yes,37193,36641,1,0,0
c101127,female,1,yes,no,45.0,no,no phone service,fiber optic,month-to-month,no,electronic check,20.69,931.05,,2015-01-01,2025-07-13 03:30:42.604542,63895.0,no,no,yes,yes,unknown,yes,38312,34466,1,1,0
c100682,male,0,yes,no,70.0,no,unknown,dsl,month-to-month,yes,mailed check,62.82,4397.4,,2015-01-01,2021-02-18 20:31:52.094098,42212.0,yes,no,no,unknown,yes,yes,38312,36071,1,1,0
c107922,male,0,no ?,yes,94.0,yes,yes,dsl,one year,y,credit card (automatic),75.28,3500.385,,2020-01-18,2027-10-03 12:32:43.780632,22630.0,no,no,unknown,no,unknown,no,36469,33654,1,0,0
c102126,female,0,no ?,no,44.0,yes,no phone service,no,month-to-month,no,bank transfer (automatic),97.71,4299.24,,2017-08-15,2021-02-27 15:51:52.543370,19617.0,unknown,yes,yes,yes,unknown,no,37355,36062,1,0,0
c105347,female,0,no,no,110.0,no,unknown,no,two year,yes,electronic check,47.13,5184.3,,2017-05-18,2026-05-15 11:20:53.125797,11578.0,yes,no,no,no,no,no,37444,34160,1,0,0
c107787,female,0,no,yes,59.0,no,unknown,fiber optic ®,month-to-month,no,mailed check,70.83,3500.385,,2015-01-01,2018-06-05 14:19:54.036700,29608.0,no,yes,no,yes,no,unknown,38312,37061,1,1,0
c101172,female,0,yes,yes,53.0,yes,no phone service,dsl,two year,yes,electronic check,19.82,1050.46,,2021-04-17,2025-11-19 19:26:38.294835,unknown,no,no,no,yes,no,unknown,36014,34336,1,0,0
c105028,male,0,yes,no,68.0,no,unknown,no,month-to-month,no,electronic check,65.9,4481.2,,2015-01-01,2026-05-11 07:16:20.849060,80973.0,no,no,unknown,no,no,unknown,38312,34164,1,1,0
c104922,male,0,yes,no,70.0,yes,yes,dsl,two year,yes,bank transfer (automatic),49.39,3500.385,,2015-01-01,2015-01-01 00:00:00.000000,28072.0,no,yes,no,no,no,no,38312,38312,1,1,1
c105672,female,0,no,no,43.0,no,no,no,two year,yes,electronic check,61.46,2642.78,,2015-07-08,2015-07-08 00:00:00.000000,89695.0,yes,no,no,yes,no,no,38124,38124,1,0,0
c103337,male,0,no,yes,33.0,yes,unknown,dsl,month-to-month,no,electronic check,99.77,3292.41,,2019-12-09,2022-10-28 01:31:06.878378,57473.0,no,yes,no,no,yes,yes,36509,35455,1,0,0
c106956,male,no,yes,yes,93.0,yes,no,dsl,month-to-month,yes,unknown,112.54,10466.22,,2016-11-30,2025-09-23 18:51:15.500985,unknown,no,no,no,no,unknown,no,37613,34393,1,0,0
c105389,female,0,yes,unknown,59.0,yes,no,fiber,two year,no,electronic check,55.1,220.4,,2022-09-13,2022-09-13 00:00:00.000000,69227.0,yes,unknown,no,no,no,unknown,35500,35500,1,0,0
c106739,female,0,yes,no,62.0,yes,no,no,month-to-month,n,electronic check,50.78,3148.36,,2015-03-16,2021-02-28 03:20:46.867597,64437.0,unknown,no,yes,no,no,no,38238,36062,1,0,0
c102921,male,0,yes,yes,14.0,yes,unknown,dsl,month-to-month,no,credit card (automatic),135.82,1901.48,,2017-07-20,2018-08-22 13:24:59.481836,93451.0,yes,no,no,yes,no,no,37381,36983,1,0,0
c106422,male,1,no,yes,2.0,yes,no,no,one year,yes,mailed check,116.91,233.82,,2017-06-09,2017-08-06 02:28:10.752046,75291.0,no,no,unknown,no,no,no,37422,37364,1,0,0
c100315,male,0,no,no,69.0,yes,no phone service,fiber,one year,no,electronic check,43.26,2984.94,,2019-11-02,2026-06-23 19:42:59.613572,26863.0,unknown,unknown,yes,no,yes,no,36546,34120,1,0,0
c105217,male,1,no,no,6.0,yes,unknown,no,month-to-month,yes,credit card (automatic),101.71,3500.385,,2015-08-31,2016-03-29 03:52:17.688186,44013.0,no,no,unknown,no,no,yes,38070,37859,1,0,0
c104881,female,1,no,no,24.0,no,no phone service,dsl,month-to-month,yes,electronic check,100.14,2403.36,,2015-01-01,2015-01-01 00:00:00.000000,28311.0,no,unknown,no,no,no,no,38312,38312,1,1,1
c101203,female,0,no,no,37.0,yes,no phone service,dsl,month-to-month,no,credit card (automatic),90.29,3340.73,,2020-11-22,2023-05-16 10:31:10.633901,57550.0,yes,unknown,unknown,yes,yes,no,36160,35255,1,0,0
c100101,female,yes,yes,no,59.0,yes,unknown,dsl,month-to-month,yes,mailed check,96.73,96.73,,2015-01-01,2015-01-01 00:00:00.000000,unknown,unknown,unknown,yes,no,no,yes,38312,38312,1,1,1
c104550,female,0,no,no,65.0,yes,no phone service,unknown,month-to-month,yes,credit card (automatic),72.12,4687.8,,2015-01-01,2024-05-31 07:14:19.943402,85852.0,unknown,unknown,yes,no,no,no,38312,34874,1,1,0
c100487,female,0,no,none,88.0,no,multiple,no,one year,yes,electronic check,-4.25,3500.385,,2015-01-01,2026-06-05 01:26:42.196912,55990.0,no,no,no,yes,no,no,38312,34139,1,1,0
c105963,male,0,no,no,59.0,no,multiple,dsl,two year,n,electronic check,31.48,661.08,,2015-02-13,2015-09-02 14:49:14.061715,90709.0,no,no,yes,no,yes,no,38269,38068,1,0,0
c104528,male,1,no,no,79.0,yes,no phone service,no,month-to-month,no,mailed check,58.31,4606.49,,2015-01-01,2028-12-27 22:07:56.284597,18264.0,no,no,no,no,no,yes,38312,33202,1,1,0
c100319,female,0,no,no,20.0,yes,unknown,no,month-to-month,yes,mailed check,88.8,1776.0,,2021-11-29,2023-08-25 10:24:32.680161,880.0,yes,unknown,unknown,unknown,no,unknown,35788,35154,1,0,0
c107060,female,0,no,no,119.0,no,unknown,dsl,one year,yes,mailed check,86.58,10303.02,,2018-03-05,2018-03-05 00:00:00.000000,9891.0,no,no,yes,yes,yes,yes,37153,37153,1,0,0
c102542,female,1,no,unknown,35.0,y,no,unknown,two year,yes,electronic check,55.09,1928.15,,2015-01-01,2025-08-17 09:13:46.503347,42244.0,no,no,unknown,unknown,no,unknown,38312,34431,1,1,0
c104385,male,0,yes,no,13.0,n,no phone service,fiber optic,month-to-month,no,credit card (automatic),64.78,842.14,,2015-01-01,2015-01-01 00:00:00.000000,86020.0,no,no,no,unknown,no,unknown,38312,38312,1,1,1
c105491,male,0,n,no,114.0,yes,yes,fiber optic,month-to-month,yes,credit card (automatic),41.82,4767.48,,2015-01-01,2015-01-01 00:00:00.000000,unknown,no,no,no,no,no,no,38312,38312,1,1,1
c103849,male,yes,yes,no,4.0,yes,yes,dsl,month-to-month,yes,mailed check,125.14,500.56,,2023-03-03,2023-03-03 00:00:00.000000,37069.0,yes,unknown,no,yes,unknown,yes,35329,35329,1,0,0
c102304,female,0,no,yes,61.0,yes,no phone service,fiber optic,one year,no,electronic check,25.8,1573.8,,2016-09-27,2016-09-27 00:00:00.000000,57620.0,yes,no,unknown,no,no,yes,37677,37677,1,0,0
c103071,male,no,no,no,28.0,yes,yes,no,month-to-month,yes,electronic check,64.47,1805.16,,2015-01-01,2015-01-01 00:00:00.000000,5430.0,no,no,unknown,yes,no,yes,38312,38312,1,1,1
c105563,female,0,yes,unknown,86.0,no,yes,none,two year,no,bank transfer (automatic),141.92,12205.12,,2018-06-06,2018-06-06 00:00:00.000000,1508.0,no,yes,no,no,no,no,37060,37060,1,0,0
c104354,male,0,no,no,57.0,no,multiple,dsl,two year,yes,electronic check,64.71,3688.47,,2015-01-01,2027-09-21 17:43:38.425611,unknown,no,no,yes,no,unknown,yes,38312,33665,1,1,0
c104034,male,no,yes,no,45.0,yes,unknown,fiber optic,month-to-month,no,bank transfer (automatic),74.2,3339.0,,2015-01-01,2020-12-19 02:46:37.599400,27974.0,no,yes,yes,no,no,no,38312,36133,1,1,0
c106691,male,0,no,no,13.0,yes,no phone service,fiber optic,month-to-month,no,mailed check,105.19,1367.47,,2022-04-30,2023-04-24 02:34:01.555038,unknown,yes,yes,yes,unknown,no,no,35636,35277,1,0,0
c104582,female,0,yes,none,59.0,no,no phone service,dsl,month-to-month,no,mailed check,111.53,3234.37,,2019-07-10,2020-08-07 07:51:38.685617,48254.0,unknown,no,no,no,no,no,36661,36267,1,0,0
c104690,female,0,yes,no,115.0,yes,no,unknown,one year,yes,electronic check,84.29,9693.35,,2019-03-12,2019-03-12 00:00:00.000000,79114.0,yes,no,no,no,unknown,yes,36781,36781,1,0,0
c101790,male,0,yes,none,59.0,no,no phone service,none,month-to-month,no,electronic check,25.72,3500.385,,2015-01-01,2023-12-09 20:21:39.827822,87255.0,no,no,no,no,no,unknown,38312,35047,1,1,0
c100554,female,0,no,no,68.0,yes,no phone service,no,month-to-month,no,mailed check,61.92,4210.56,,2016-05-11,2021-12-31 03:58:33.777543,56755.0,no,no,no,no,unknown,no,37816,35756,1,0,0
c107610,female,0,yes,no,82.0,yes,multiple,fiber,month-to-month,yes,bank transfer (automatic),42.42,3478.44,,2015-01-01,2015-01-01 00:00:00.000000,unknown,no,unknown,yes,no,unknown,yes,38312,38312,1,1,1
c106347,female,0,no,no,104.0,n,no phone service,dsl,month-to-month,no,unknown,92.95,9666.8,,2015-01-01,2031-03-20 01:20:11.089416,90894.0,yes,no,no,no,unknown,no,38312,32390,1,1,0
c106632,female,0,no,yes,86.0,yes ✅,no phone service,dsl,month-to-month,yes,mailed check,74.65,3500.385,,2022-02-12,2028-12-01 01:58:45.859719,79811.0,no,no,unknown,no,no,yes,35713,33229,1,0,0
c101385,female,no,n,no,12.0,yes,no phone service,dsl,month-to-month,no,credit card (automatic),62.77,753.24,,2023-11-30,2024-12-15 07:51:59.604826,86406.0,unknown,no,no,unknown,no,unknown,35057,34676,1,0,0
c102291,female,0,no,no,28.0,yes,no phone service,no,month-to-month,no,credit card (automatic),96.3,2696.4,,2015-01-01,2015-01-01 00:00:00.000000,90708.0,no,no,yes,unknown,yes,no,38312,38312,1,1,1
c101915,male,no,yes,none,18.0,yes,no phone service,fiber optic,two year,yes,electronic check,100.31,3500.385,,2015-01-01,2015-01-01 00:00:00.000000,unknown,no,no,no,yes,unknown,yes,38312,38312,1,1,1
